abc_path,syntactic_valid,midi_success,parse_error,midi_error,num_notes,num_chords,num_rests,nontrivial_music,has_X,has_T,has_M,has_L,has_K
.ipynb_checkpoints/cond_00-checkpoint.abc,1,1,,,556,11,63,1,True,True,True,True,True
.ipynb_checkpoints/cond_01-checkpoint.abc,1,1,,,221,13,158,1,True,True,True,True,True
.ipynb_checkpoints/cond_02-checkpoint.abc,1,1,,,187,2,134,1,True,True,True,True,True
.ipynb_checkpoints/cond_03-checkpoint.abc,1,1,,,0,0,277,0,True,True,True,True,True
.ipynb_checkpoints/cond_04-checkpoint.abc,1,1,,,197,34,181,1,True,True,True,True,True
.ipynb_checkpoints/cond_05-checkpoint.abc,1,1,,,83,48,102,1,True,True,True,True,True
.ipynb_checkpoints/cond_06-checkpoint.abc,1,1,,,65,124,38,1,True,True,True,True,True
.ipynb_checkpoints/cond_07-checkpoint.abc,1,1,,,94,0,167,1,True,True,True,True,True
.ipynb_checkpoints/cond_08-checkpoint.abc,1,1,,,74,7,144,1,True,True,True,True,True
.ipynb_checkpoints/cond_09-checkpoint.abc,1,1,,,66,123,15,1,True,True,True,True,True
cond_00.abc,1,1,,,556,11,63,1,True,True,True,True,True
cond_01.abc,1,1,,,221,13,158,1,True,True,True,True,True
cond_02.abc,1,1,,,187,2,134,1,True,True,True,True,True
cond_03.abc,1,1,,,0,0,277,0,True,True,True,True,True
cond_04.abc,1,1,,,197,34,181,1,True,True,True,True,True
cond_05.abc,1,1,,,83,48,102,1,True,True,True,True,True
cond_06.abc,1,1,,,65,124,38,1,True,True,True,True,True
cond_07.abc,1,1,,,94,0,167,1,True,True,True,True,True
cond_08.abc,1,1,,,74,7,144,1,True,True,True,True,True
cond_09.abc,1,1,,,66,123,15,1,True,True,True,True,True
